song_name,singer,language
Thellavara Neeku,Ghanatasala|P. Susheela,Telugu
Neethone,K J Yesudas,Telugu
Minneti Sooreedu,S. P. Balasubrahmanyam|Vani Jairam,Telugu
Sankara Nada Sareera,S. P. Balasubrahmanyam,Telugu
Annee Manchi Sakunamule,Ghanatasala|P. Susheela,Telugu
Naa Janma Bhoomi Yenthaandhamaina,Ghanatasala,Telugu
Om Shanthi,Hemachandra|Harshika,Telugu
Maava Manchamekku,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Ko Ko Kokila Rave,S. P. Balasubrahmanyam|S. Janaki,Telugu
Kajaraho,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
